2024-03-27_11-30-57_player-2spatial maze.txt,id1=12,id2=21,3:46:28,WRONG MODE FAILURE
2024-03-27_11-35-40,41.09785,-12.06851,21.04416,14
2024-03-27_11-35-41,41.19427,-11.51828,1.025426,13
2024-03-27_11-35-41,41.11158,-11.38237,335.387,11
2024-03-27_11-35-42,40.27162,-11.29419,312.2029,11
2024-03-27_11-35-42,38.57027,-11.34757,295.6234,12
2024-03-27_11-35-43,38.25002,-11.36301,287.5068,13
2024-03-27_11-35-43,38.14691,-11.48237,272.8252,13
2024-03-27_11-35-44,37.68048,-12.02759,200.5813,12
2024-03-27_11-35-44,37.55925,-12.54555,153.9972,12
2024-03-27_11-35-45,37.4383,-13.21247,145.1976,13
2024-03-27_11-35-45,37.4253,-13.42914,140.0914,13
2024-03-27_11-35-46,37.42791,-13.49773,139.2076,12
2024-03-27_11-35-46,37.41749,-13.49882,138.8902,13
2024-03-27_11-35-47,37.42135,-13.49781,137.5206,13
2024-03-27_11-35-47,37.41562,-13.49606,136.945,12
2024-03-27_11-35-48,37.40652,-13.49858,136.0644,10
2024-03-27_11-35-48,37.4107,-13.49119,136.2411,9
2024-03-27_11-35-49,37.41093,-13.48728,136.878,9
2024-03-27_11-35-49,37.42685,-13.4896,136.6703,9
2024-03-27_11-35-50,37.43853,-13.49676,137.5849,9
2024-03-27_11-35-50,37.54305,-13.91863,129.1217,9
2024-03-27_11-35-51,38.13883,-15.11838,117.7283,9
2024-03-27_11-35-51,39.52248,-17.0251,109.6717,9
2024-03-27_11-35-52,40.16479,-17.87588,114.0881,9
2024-03-27_11-35-52,40.21847,-17.92506,115.5951,9
2024-03-27_11-35-53,40.44875,-18.20427,115.4726,11
2024-03-27_11-35-53,40.80728,-18.67241,114.8536,10
