2024-03-27_12-22-22_remote-1spatial maze.txt,id1=2,id2=3,01:10:83,FAILURE *
2024-03-27_12-25-52,-41.48174,14.02657,88.21248,14
2024-03-27_12-25-53,-41.55493,13.80894,91.77765,13
2024-03-27_12-25-53,-41.53943,13.69388,88.39482,13
2024-03-27_12-25-54,-41.50224,13.68949,86.47163,13
2024-03-27_12-25-54,-41.48766,13.57658,85.7475,13
2024-03-27_12-25-55,-41.51194,13.53343,85.18914,11
2024-03-27_12-25-55,-41.47341,13.56446,84.6559,11
2024-03-27_12-25-56,-41.43519,13.60751,84.62908,11
2024-03-27_12-25-56,-41.47658,13.49654,87.98785,11
2024-03-27_12-25-57,-41.55266,13.37667,101.8874,13
2024-03-27_12-25-58,-41.59486,13.35987,148.2621,13
2024-03-27_12-25-58,-41.60723,13.3443,235.3141,13
2024-03-27_12-25-59,-41.55882,13.32458,189.9421,13
2024-03-27_12-25-59,-41.56933,13.35497,128.4818,13
2024-03-27_12-26-00,-41.59988,13.36199,131.3908,13
2024-03-27_12-26-00,-41.60866,13.37799,133.79,13
2024-03-27_12-26-01,-41.62607,13.38832,133.2086,13
