2024-03-26_13-56-26_player-2spatial maze.txt,id1=5,id2=6,02:43:98
2024-03-26_13-59-32,-27.68875,18.68245,211.5498,6
2024-03-26_13-59-33,-27.41352,17.37539,201.9723,4
2024-03-26_13-59-33,-26.70213,15.48566,204.6533,4
2024-03-26_13-59-34,-26.02938,14.32985,192.6815,4
2024-03-26_13-59-34,-25.05773,12.82753,192.5298,3
2024-03-26_13-59-35,-24.483,12.41055,200.6655,4
2024-03-26_13-59-35,-23.39173,11.55994,213.0804,4
2024-03-26_13-59-36,-23.63743,9.864841,240.4263,3
2024-03-26_13-59-36,-24.2831,8.402883,242.8267,3
2024-03-26_13-59-37,-25.52427,7.403593,241.3167,4
2024-03-26_13-59-37,-25.99358,7.237915,220.2793,4
2024-03-26_13-59-38,-26.51872,5.321384,215.7852,2
2024-03-26_13-59-38,-26.165,3.340111,205.0455,2
2024-03-26_13-59-39,-24.41133,2.468996,97.03423,2
2024-03-26_13-59-39,-22.39492,1.969048,68.88455,2
2024-03-26_13-59-40,-21.52055,1.636965,97.96613,2
2024-03-26_13-59-40,-21.50115,1.532288,200.5454,2
2024-03-26_13-59-41,-21.68683,-0.36356,220.3639,2
2024-03-26_13-59-41,-21.62387,-1.961159,212.0897,1
2024-03-26_13-59-42,-21.44421,-3.457925,209.0961,1
2024-03-26_13-59-42,-21.29039,-5.641457,210.5371,1
2024-03-26_13-59-43,-21.16062,-6.444448,204.563,1
2024-03-26_13-59-43,-21.1026,-6.709713,212.3234,1
2024-03-26_13-59-44,-21.07546,-6.698295,216.072,0
2024-03-26_13-59-44,-21.0711,-6.696456,220.0273,0
2024-03-26_13-59-45,-21.10957,-6.910215,219.5698,0
2024-03-26_13-59-45,-21.14323,-7.287632,217.5987,0
2024-03-26_13-59-46,-21.15031,-7.304359,216.7375,0
2024-03-26_13-59-46,-21.17424,-7.319667,232.8455,0
2024-03-26_13-59-47,-21.19049,-7.316134,269.8446,0
2024-03-26_13-59-47,-21.23738,-7.300578,305.4266,0
2024-03-26_13-59-48,-21.78655,-6.6208,332.4655,0
